"filename", "language", "C", "Markdown", "comment", "blank", "total"
"d:\C_code\REMADE.md", "Markdown", 0, 1, 0, 0, 1
"d:\C_code\day01\demo01.c", "C", 12, 0, 0, 2, 14
"d:\C_code\day01\demo02.c", "C", 17, 0, 1, 4, 22
"d:\C_code\day01\笔记.md", "Markdown", 0, 60, 0, 14, 74
"d:\C_code\day02\demo01.c", "C", 8, 0, 2, 4, 14
"d:\C_code\day02\demo02.c", "C", 8, 0, 1, 2, 11
"d:\C_code\day02\demo03.c", "C", 18, 0, 6, 3, 27
"d:\C_code\day02\demo04..c", "C", 16, 0, 6, 3, 25
"d:\C_code\day02\demo05.c", "C", 23, 0, 6, 2, 31
"d:\C_code\day02\demo06.c", "C", 12, 0, 4, 3, 19
"d:\C_code\day02\demo07.c", "C", 15, 0, 1, 2, 18
"d:\C_code\day02\demo08.c", "C", 14, 0, 3, 2, 19
"d:\C_code\day02\demo09.c", "C", 12, 0, 1, 2, 15
"d:\C_code\day02\demo10.c", "C", 19, 0, 3, 2, 24
"d:\C_code\day02\笔记.md", "Markdown", 0, 91, 0, 13, 104
"d:\C_code\day03\demo01.c", "C", 14, 0, 26, 5, 45
"d:\C_code\day03\demo02.c", "C", 16, 0, 4, 1, 21
"d:\C_code\day03\demo03.c", "C", 12, 0, 2, 2, 16
"d:\C_code\day03\demo04.c", "C", 17, 0, 1, 4, 22
"d:\C_code\day03\笔记.md", "Markdown", 0, 57, 0, 5, 62
"d:\C_code\day04\demo01.c", "C", 13, 0, 2, 3, 18
"d:\C_code\day04\demo02.c", "C", 8, 0, 5, 2, 15
"d:\C_code\day04\demo03.c", "C", 22, 0, 6, 3, 31
"d:\C_code\day04\demo04.c", "C", 14, 0, 4, 3, 21
"d:\C_code\day04\demo05.c", "C", 10, 0, 2, 3, 15
"d:\C_code\day04\demo06.c", "C", 12, 0, 2, 3, 17
"d:\C_code\day04\demo07.c", "C", 24, 0, 4, 3, 31
"d:\C_code\day04\笔记.md", "Markdown", 0, 66, 0, 18, 84
"d:\C_code\day05\demo01.c", "C", 24, 0, 4, 4, 32
"d:\C_code\day05\demo02.c", "C", 17, 0, 2, 3, 22
"d:\C_code\day05\笔记.md", "Markdown", 0, 57, 0, 10, 67
"d:\C_code\day06\demo01.c", "C", 7, 0, 1, 1, 9
"d:\C_code\day06\demo02.c", "C", 15, 0, 2, 3, 20
"d:\C_code\day06\demo03.c", "C", 37, 0, 6, 1, 44
"d:\C_code\day06\demo04.c", "C", 29, 0, 6, 4, 39
"d:\C_code\day06\笔记.md", "Markdown", 0, 13, 0, 0, 13
