"filename", "language", "Markdown", "C", "comment", "blank", "total"
"d:\C_code\进阶day04\demo04.c", "C", 0, 63, 18, 4, 85
"d:\C_code\进阶day04\demo05.c", "C", 0, 13, 5, 2, 20
"d:\C_code\进阶day04\demo06.c", "C", 0, 41, 8, 6, 55
"d:\C_code\进阶day04\demo07.c", "C", 0, 17, 8, 3, 28
"d:\C_code\进阶day04\demo08.c", "C", 0, 20, 9, 2, 31
"d:\C_code\进阶day04\demo09.c", "C", 0, 31, 8, 3, 42
"d:\C_code\进阶day04\demo10.c", "C", 0, 18, 7, 2, 27
"d:\C_code\进阶day04\demo11.c", "C", 0, 42, 19, 3, 64
"d:\C_code\进阶day04\demo12.c", "C", 0, 19, 6, 2, 27
"d:\C_code\进阶day04\笔记.md", "Markdown", 369, 0, 0, 33, 402
"d:\C_code\进阶day05\demo01.c", "C", 0, 46, 28, 10, 84
"d:\C_code\进阶day05\demo02.c", "C", 0, 20, 4, 4, 28
"d:\C_code\进阶day05\demo03.c", "C", 0, 38, 5, 6, 49
"d:\C_code\进阶day05\demo04.c", "C", 0, 16, 4, 3, 23
"d:\C_code\进阶day05\demo05.c", "C", 0, 53, 14, 6, 73
"d:\C_code\进阶day05\笔记.md", "Markdown", 164, 0, 0, 36, 200
"d:\C_code\进阶day06\demo01.c", "C", 0, 38, 13, 2, 53
"d:\C_code\进阶day06\demo02.c", "C", 0, 6, 1, 3, 10
"d:\C_code\进阶day06\笔记.md", "Markdown", 60, 0, 0, 8, 68
"Total", "-", 593, 481, 157, 138, 1369
